Year,stbreak,group,percent
2013,7,19,39.88474921
2014,7,19,38.38680571
2015,7,19,33.89532761
2016,7,19,30.82004724
2017,7,19,26.60584567
2018,7,19,26.79379942
2019,7,19,32.71215152
2004,8,19,28.73510548
2005,8,19,17.46523957
2006,8,19,32.27443727
2007,8,19,34.63877418
2008,8,19,35.179123
2009,8,19,29.87012987
2010,8,19,36.71168485
2011,8,19,46.59124724
2012,8,19,24.51870265
2013,8,19,37.82658962
2014,8,19,30.39167373
2015,8,19,37.99918217
2016,8,19,28.77933903
2017,8,19,24.85214072
2018,8,19,29.98376185
2019,8,19,21.80828059
2004,9,19,15.74119246
2005,9,19,17.46523957
2006,9,19,32.57977393
2007,9,19,32.32691991
2008,9,19,27.79086846
2009,9,19,25.75150301
2010,9,19,32.99367006
2011,9,19,36.74344702
2012,9,19,15
2013,9,19,15.50784492
2014,9,19,16.10583894
2015,9,19,23.154
2016,9,19,21.97521975
2017,9,19,12.16989776
2018,9,19,24.18262366
2019,9,19,22.598
