"Year","sf","Run","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
2014,2,706630,0.178919910320831,0.0972184639894676,0.170325959128201,0.0517803515413916,0.045438112448076,0.00859395119262911,0.0324925399666817,0.0129455724813943,0.902781536010532,0.286644400110166,0.322026787895259,0.115190437684277,0.00488651029628802,0.110303927387989,0.608671188005425,0.289223837708819,0.616137135900366,0.705889651994893,0.294110348005107,,,,0.0842728915080733
2015,2,669483,0.118448793337066,0.227534268434515,0.111458004397879,0.106316312191411,0.121217956243104,0.00699078893918709,0.0793751720374268,0.0418427842056773,0.772465731565485,0.220447360733232,0.287652687216545,0.145916890278643,0.0225068989524649,0.123409991326178,0.508100047949777,0.241858784663243,0.552018370832253,0.735634316384292,0.264365683615708,,,,0.185691484228838
2016,2,994760,0.0724694456256254,0.201704469513668,0.0684064590062674,0.06276426123481,0.138940208278858,0.00406298661935793,0.0536922480290063,0.0852479602498515,0.798295530486332,0.234689819938872,0.289229375076868,0.201906889844967,0.0339563728253858,0.167950517019582,0.523919195015739,0.240419962645207,0.563605710547461,0.725623664529407,0.274376335470593,,,,0.116456509263816
2017,2,1829931,0.126668066138416,0.119424882166636,0.124181426126006,0.0518417943459142,0.0675830878207223,0.00248664001240956,0.0307198086747937,0.0368632791459286,0.880575117833364,0.324698417168777,0.331576188092174,0.0976324464339967,0.0422263395608877,0.055406106873109,0.656274605260951,0.182074173011525,0.555876700664587,0.775699487427587,0.224300512572413,,,,0.0825616030207079
2018,2,928664,0.161587751277143,0.172963998010197,0.15808966824538,0.0642506145419626,0.108713383468234,0.00349808303176313,0.0458011764113325,0.0629122070569016,0.827036001989803,0.351064148280771,0.22892074345673,0.0854633589751589,0.0153941219496971,0.0700692370254618,0.579984891737501,0.231656988302605,0.475971853709032,0.752948889747698,0.247051110252302,,,,0.110051790953295
2019,2,842041,0.107893952836026,0.348004421649302,0.0989191940653721,0.242379731711401,0.105624689937901,0.00897475877065369,0.0593007615781179,0.046323928359783,0.651995578350698,0.243402822677281,0.198229853380061,0.10246894945733,0.0393922020542943,0.0630767474030362,0.441632676057342,0.170970700239062,0.408592755673417,0.789637097706644,0.210362902293356,,,,0.301680493289519
2020,2,262255,0.0536168720093508,0.472694759751532,0.046120269878436,0.324832783315529,0.147861976436003,0.00749660213091477,0.0670985687083792,0.080763407727624,0.527305240248468,0.194119210870679,0.163885432214974,0.115683725153464,0.0713945239661425,0.0442892011873212,0.358004643085653,0.0979060731966719,0.333186029377789,0.830699402837186,0.169300597162814,,,,0.391931352023908
2021,2,146197,0.0450081635156014,0.29331970225763,0.0407119343439711,0.177803368500245,0.115516333757384,0.00429622917163032,0.0676731607814944,0.0478431729758901,0.70668029774237,0.30357940740161,0.282506763973562,0.0755859628515967,0.00456986375025133,0.0710160991013454,0.586086171375172,0.116024262616947,0.40310089034076,0.879405873632802,0.120594126367198,,,,0.24547652928174
2022,2,325717,0.0321342251083962,0.274679213652888,0.0284036388936603,0.131910568832603,0.142768644820285,0.0037305862147359,0.133093082855566,0.00967556196471915,0.725320786347112,0.425825233245216,0.224504971436048,0.0428563565574511,0.00593210081290912,0.036924255744542,0.650330204681264,0.0690584808529382,0.299495553101895,0.925009418334153,0.0749905816658473,,,,0.265003651688169
2023,2,370015,0.0311164042872741,0.217430969233132,0.0298237806176181,0.154914165286087,0.0625168039470449,0.00129262366965602,0.0402624083578141,0.0222543955892308,0.782569030766868,0.329145264181969,0.32383286788192,0.0984744944157051,0.013247092014136,0.0852274024015691,0.652978132063889,0.116343806688843,0.453423766584899,0.870409101297021,0.129590898702979,,,,0.195176573643901
2024,2,246152,0.0200962055743936,0.186442169343626,0.0181463024109321,0.0901691618833328,0.0962730074602929,0.00194990316346152,0.0419568448709763,0.0543161625893166,0.813557830656374,0.413011517329933,0.281321213668045,0.0991288940840027,0.0639067053902138,0.0352221886937889,0.694332730997978,0.0553183942681825,0.400546313326441,0.880774900341604,0.119225099658396,,,,0.132126006754309
